Employee_ID,Full_Name,Age,Phone,Email,Department_Region,Status,Join_Date,Salary,Performance_Score,Remote_Work,Department,Region,Performance_Score_Num,Seniority_Years,Age_Group,Salary_Level
EMP-1000,Bob Davis,25.0,1651623197,bob.davis@example.com,DevOps-California,Active,2021-04-02,59767.65,Average,True,DevOps,California,2,4,<25,Low
EMP-1001,Bob Brown,30.0,1898471390,bob.brown@example.com,Finance-Texas,Active,2020-07-10,65304.66,Excellent,True,Finance,Texas,4,5,25-34,Low
EMP-1002,Alice Jones,30.0,5596363211,alice.jones@example.com,Admin-Nevada,Pending,2023-12-07,88145.9,Good,True,Admin,Nevada,3,1,25-34,Medium
EMP-1003,Eva Davis,25.0,3476490784,eva.davis@example.com,Admin-Nevada,Inactive,2021-11-27,69450.99,Good,True,Admin,Nevada,3,3,<25,Low
EMP-1004,Frank Williams,25.0,1586734256,frank.williams@example.com,Cloud Tech-Florida,Active,2022-01-05,109324.61,Poor,False,Cloud Tech,Florida,1,3,<25,High
EMP-1005,Alice Garcia,40.0,5409003485,alice.garcia@example.com,Sales-Texas,Inactive,2020-06-10,88642.84,Good,False,Sales,Texas,3,5,35-44,Medium
EMP-1006,Frank Jones,30.0,4518376063,frank.jones@example.com,Admin-Nevada,Active,2020-04-03,96288.43,Good,False,Admin,Nevada,3,5,25-34,High
EMP-1007,Bob Jones,30.0,4134327559,bob.jones@example.com,Cloud Tech-Florida,Inactive,2022-07-17,94497.91,Average,True,Cloud Tech,Florida,2,3,25-34,Medium
EMP-1008,Frank Davis,35.0,4177656123,frank.davis@example.com,Admin-Nevada,Inactive,2023-12-08,115565.82,Excellent,True,Admin,Nevada,4,1,25-34,High
EMP-1009,Charlie Johnson,30.0,8156985699,charlie.johnson@example.com,DevOps-New York,Active,2022-08-04,76561.88,Excellent,True,DevOps,New York,4,3,25-34,Medium
EMP-1010,David Williams,35.0,2720634590,david.williams@example.com,Cloud Tech-New York,Active,2024-07-06,72081.71,Average,False,Cloud Tech,New York,2,1,25-34,Low
EMP-1011,David Davis,30.0,1238296576,david.davis@example.com,DevOps-California,Active,2023-09-04,84946.19,Poor,True,DevOps,California,1,2,25-34,Medium
